id,status_editorial,versao,problema,modelo,dados,aproximacao,validacao_ou_evidencia,limitacao_para_o_recorte,papel_no_projeto,url
depaula2004,Publicado; CQG21(2004)4595,gr-qc/0409041v1,Polarizações do TG,Visser linearizado,Sem dados PTA,Tratamento quase nulo/Newman–Penrose,Referência histórica; reprodução algébrica,Não confundir seis formas geométricas com seis modos saudáveis,"Reprodução, não novidade",https://arxiv.org/abs/gr-qc/0409041v1
hyun2019,Publicado; PRD99 124002,1810.09316v1,Amplitudes exatas não nulas,Geometria de polarizações,Sem inferência PTA,Formulação exata em vez de aproximação quase nula,Antecedente para auditoria do TG,Reformular amplitudes exatas isoladamente não é contribuição nova,Fundamento/validação,https://arxiv.org/abs/1810.09316v1
liang2021,Publicado; PRD104 084052,2108.05344v3 (24/07/2026; revisão posterior ao artigo de 2021),ORFs massivas por setor,Gravidade massiva; tensor/vetor/escalar,Fundo estocástico idealizado,Sec.III eq.(22): resposta com quatro-velocidade dos observadores; ORFs analíticas/limites nas seções seguintes,Usar convenções e limites como benchmark; cruzar correção de Cordes,Revalidar resposta escalar/vetorial de implementações anteriores; helicidade zero e sua ORF não são novidade; confrontar normalizações com Cordes,Reprodução da resposta,https://arxiv.org/html/2108.05344v3
wu2024,Publicado; CQG41 075002,2310.07469v1,Inferência de massa PTA,Fundo tensorial dispersivo,NANOGrav15,Inferência e limite associado à frequência de corte,Comparação de modelos e espectro,Inferência massiva por frequência já possui antecedentes,Benchmark inferencial,https://arxiv.org/abs/2310.07469v1
nanograv2024,Publicado; ApJL964 L14,2310.12138v1,Busca de polarizações transversais,Tensor e escalar transversal,NANOGrav15,Análise colaborativa de sinais/ruídos,Comparação estatística de modelos,Escalar fenomenológico não é automaticamente helicidade zero FP,Contexto observacional,https://arxiv.org/abs/2310.12138v1
cordes2025,Publicado; CQG42 015003,2407.04464v2 (31/01/2025),Normalização e distância finita na ORF,Velocidade de fase arbitrária; setor tensorial,Teoria e avaliação numérica,Sec.2–5; autocorrelação exata; correção no regime massivo,Limite HD e expressões analíticas contra integração,Fase superluminal é o ramo massivo; não confundir com grupo; não executa comparação tripla inferencial,Benchmark obrigatório; distância finita não é novidade,https://arxiv.org/html/2407.04464v2
choi2025,Preprint; publicação não confirmada,2507.02059v2 (01/08/2025),Ajuste de ORF efetiva massiva,Tensor+vetor+escalar com equipartição,NANOGrav15 e CPTA DR1 binados,Massa fixa; grade de k/omega; termos de pulsar; energias sem dependência espectral,Monte Carlo da ORF e chi²,Discussão pede análise em frequência; não apresenta A/B/C e cobertura; melhora de chi² não é detecção,Antecedente próximo; reproduzir como caso aproximado,https://arxiv.org/html/2507.02059v2
wu2025,Publicado; PRD112 064053,2506.07679v2,Interferência e dispersão,Setor tensorial massivo,Conjunto finito de fontes,Variabilidade de correlações,Cenários de realização do fundo,Não é auditoria da compressão; exige teste de robustez não gaussiano,Robustez posterior,https://arxiv.org/abs/2506.07679v2
zhao2026,Preprint; publicação não confirmada,2607.14790v1 (16/07/2026),Limite MeerKAT e previsão SKA,ORF tensorial massiva,MeerKAT4.5 anos; correlações angulares comprimidas,Sec.III: f_ref=1/T; priori uniforme cinemática; verossimilhança diagonal,Diagnóstico MCMC e modelos de ruído; forecasts,"Não propaga distribuição de frequências na curva comprimida nem calibra A/B/C; avaliar conservadorismo da diagonalização, sem assumir que seja geral",Motivação direta para C08/C09,https://arxiv.org/html/2607.14790v1
han2026,Preprint; publicação não confirmada,2604.23384v2 (29/04/2026),Inferência multifrequência com covariância completa,PTA–astrometria dispersiva,Simulações; cenários atuais/futuros,Sec.III–IV: produtos fixos por frequência; covariância dependente de parâmetros; forecast Asimov com termo de traço,10000 realizações validam covariância; teste de prioris de amplitude e índice,Forecast condicionado não é calibração de cobertura posterior; não localizado teste A/B/C; varredura de prioris de massa difere da variação dos parâmetros espectrais,Antecedente muito próximo; frequência+covariância não são novidade,https://arxiv.org/html/2604.23384v2
franciolini2025,Publicado; PRD112 103516; DOI10.1103/sjtb-gnz5,2505.24695v1 (30/05/2025),Viés de verossimilhanças e compressão de SGWB,Gaussiana Fourier/Whittle; 1–3 detectores,Simulações e discussão de detectores realistas,Sec.IV.3 eqs.69–77: compressão por frequência para amplitude sob forma conhecida; aproximações gaussianas,Comparações de posteriores e estimadores; condições de sinal fraco,Não trata massa dispersiva explicitamente; impede vender compressão consistente ou auditoria gaussiana como ideia inédita,Metodologia a adaptar; separar erro de distribuição e resposta,https://arxiv.org/html/2505.24695v1 | https://cds.cern.ch/record/2933693
vanhaasteren2013,Publicado; MNRAS429 55–62,1210.0584v2,Compressão para acelerar PTA,Transformação linear de resíduos; ABC,Dados simulados IPTA,Retém subespaço informativo; fidelidade da compressão,Comparação de recuperação com dados não comprimidos,Compressão controlada e perda de informação possuem longa história,"Antecedente metodológico, não concorrente específico de massa",https://arxiv.org/abs/1210.0584v2
bernardo2024,Publicado; PRD109 L101502,2306.13593v4 (22/05/2024),Discriminar gravidade por multipolos,Escalar-tensor e Fierz–Pauli; velocidades,Correlação limitada por variância cósmica,Multipolos e velocidades a fD fixo; código PTAfast,Notebooks analíticos/numericos disponíveis,Não testa inferência massiva multifrequência comprimida; vínculo de modos escalares tem antecedentes,Benchmark de polarizações e variância; não alegar primeiro escalar vinculado,https://arxiv.org/abs/2306.13593v4 | https://github.com/reggiebernardo/PTAfast/tree/main/app3_cvlimitedgravity
atkins2024,Publicado; PRD110 124018,2408.10122v2 (10/12/2024),Estrutura espectral produzida pela dispersão,Generalização do teorema de Phinney,Previsões para fundo de binárias em PTA,Distorções localizadas e forecasts; triagem de resumo nesta auditoria,Resultados primários a aprofundar se modelar fontes,Não considerar espectro de fundo independente da dispersão como previsão universal,Justifica restringir modelo à propagação/observável fenomenológico,https://arxiv.org/abs/2408.10122v2
lvk2026,Preprint; LVK,2603.19020v2 (20/07/2026),Teste de dispersão em eventos,Sinais compactos tensorais,GWTC4,Limite de massa e dependência de escolhas de inferência,Contexto de limites e testes com injeções,Não é limite universal para todos os modos/teorias,Comparação contextual,https://arxiv.org/abs/2603.19020v2
kahniashvili_ppc2026,Apresentação; não artigo,01/09/2026,Evolução do programa de gravidade massiva PTA,Prescrição fenomenológica de desacoplamento,NANOGrav15 anunciado,Resumo de evento; slides não auditados nesta etapa,Não há validação independente nesta consulta,Evidência de tema ativo; não confundir com publicação revisada,Monitorar antes da submissão,https://indico.global/event/15267/contributions/157529/
projeto,Contribuição candidata; não resultado,C03 em 10/09/2026,"Separar compressão, modelo, prioris e covariância",Primeiro tensorial; depois escalar FP vinculado,Mesmo simulador e realizações; aplicação pública condicionada,A frequências; B operador consistente; C f_ref; ablações independentes,"Cobertura, viés, falsos positivos, informação, limites, convergência",Ausência de equivalente nas fontes inspecionadas não prova prioridade; precisa resultado útil,Hipótese de contribuição a testar C08–C11,implementation_plan/commits/C08_compressao_frequencia.md
